<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
02/01/17,10:25:00,60915.0000000,60924.0000000,60910.0000000,60915.0000000,3281
02/01/17,10:26:00,60915.0000000,60920.0000000,60911.0000000,60914.0000000,2444
02/01/17,10:27:00,60914.0000000,60930.0000000,60912.0000000,60923.0000000,4036
02/01/17,10:28:00,60923.0000000,60924.0000000,60909.0000000,60911.0000000,2818
02/01/17,10:29:00,60911.0000000,60918.0000000,60907.0000000,60910.0000000,2077
02/01/17,10:30:00,60910.0000000,60922.0000000,60909.0000000,60916.0000000,3870
02/01/17,10:31:00,60918.0000000,60957.0000000,60912.0000000,60944.0000000,11585
02/01/17,10:32:00,60946.0000000,60958.0000000,60945.0000000,60953.0000000,1841
02/01/17,10:33:00,60953.0000000,60965.0000000,60953.0000000,60956.0000000,4051
02/01/17,10:34:00,60956.0000000,60965.0000000,60945.0000000,60952.0000000,4683
02/01/17,10:35:00,60952.0000000,60958.0000000,60948.0000000,60956.0000000,1036
02/01/17,10:36:00,60957.0000000,60968.0000000,60956.0000000,60967.0000000,1249
02/01/17,10:37:00,60967.0000000,60970.0000000,60958.0000000,60963.0000000,2260
02/01/17,10:38:00,60967.0000000,60971.0000000,60962.0000000,60968.0000000,2336
02/01/17,10:39:00,60967.0000000,60970.0000000,60964.0000000,60965.0000000,1562
02/01/17,10:40:00,60968.0000000,60970.0000000,60960.0000000,60960.0000000,1923
02/01/17,10:41:00,60960.0000000,60965.0000000,60960.0000000,60965.0000000,723
02/01/17,10:42:00,60963.0000000,60965.0000000,60929.0000000,60931.0000000,3556
02/01/17,10:43:00,60934.0000000,60945.0000000,60925.0000000,60930.0000000,4331
02/01/17,10:44:00,60927.0000000,60934.0000000,60925.0000000,60930.0000000,1014
02/01/17,10:45:00,60928.0000000,60937.0000000,60923.0000000,60935.0000000,1599
02/01/17,10:46:00,60935.0000000,60940.0000000,60933.0000000,60934.0000000,895
02/01/17,10:47:00,60934.0000000,60945.0000000,60931.0000000,60939.0000000,1490
02/01/17,10:48:00,60940.0000000,60941.0000000,60934.0000000,60938.0000000,774
02/01/17,10:49:00,60938.0000000,60949.0000000,60937.0000000,60945.0000000,1344
02/01/17,10:50:00,60947.0000000,60950.0000000,60943.0000000,60948.0000000,1637
02/01/17,10:51:00,60948.0000000,60957.0000000,60942.0000000,60953.0000000,3077
02/01/17,10:52:00,60953.0000000,60966.0000000,60950.0000000,60963.0000000,2797
02/01/17,10:53:00,60962.0000000,60971.0000000,60961.0000000,60968.0000000,2197
02/01/17,10:54:00,60969.0000000,60973.0000000,60962.0000000,60965.0000000,1434
02/01/17,10:55:00,60963.0000000,60973.0000000,60962.0000000,60971.0000000,1079
02/01/17,10:56:00,60971.0000000,60971.0000000,60956.0000000,60961.0000000,937
02/01/17,10:57:00,60958.0000000,60963.0000000,60947.0000000,60955.0000000,2123
02/01/17,10:58:00,60954.0000000,60961.0000000,60939.0000000,60950.0000000,3066
02/01/17,10:59:00,60950.0000000,60955.0000000,60929.0000000,60930.0000000,5574
02/01/17,11:00:00,60933.0000000,60951.0000000,60924.0000000,60949.0000000,5985
02/01/17,11:01:00,60949.0000000,60968.0000000,60949.0000000,60960.0000000,5636
02/01/17,11:02:00,60960.0000000,60979.0000000,60957.0000000,60972.0000000,7286
02/01/17,11:03:00,60970.0000000,60979.0000000,60954.0000000,60958.0000000,4913
02/01/17,11:04:00,60960.0000000,60963.0000000,60945.0000000,60950.0000000,2203
02/01/17,11:05:00,60947.0000000,60963.0000000,60947.0000000,60963.0000000,2023
02/01/17,11:06:00,60962.0000000,60963.0000000,60941.0000000,60948.0000000,5943
02/01/17,11:07:00,60949.0000000,60954.0000000,60935.0000000,60940.0000000,7724
02/01/17,11:08:00,60937.0000000,60948.0000000,60907.0000000,60912.0000000,12021
02/01/17,11:09:00,60914.0000000,60934.0000000,60909.0000000,60909.0000000,5433
02/01/17,11:10:00,60912.0000000,60917.0000000,60874.0000000,60895.0000000,10051
02/01/17,11:11:00,60893.0000000,60911.0000000,60890.0000000,60906.0000000,3030
02/01/17,11:12:00,60905.0000000,60911.0000000,60897.0000000,60902.0000000,3935
02/01/17,11:13:00,60902.0000000,60906.0000000,60894.0000000,60895.0000000,2174
02/01/17,11:14:00,60897.0000000,60901.0000000,60881.0000000,60895.0000000,3912
02/01/17,11:15:00,60895.0000000,60901.0000000,60886.0000000,60893.0000000,2824
02/01/17,11:16:00,60893.0000000,60915.0000000,60889.0000000,60908.0000000,4506
02/01/17,11:17:00,60908.0000000,60922.0000000,60895.0000000,60902.0000000,3789
02/01/17,11:18:00,60903.0000000,60916.0000000,60899.0000000,60908.0000000,2475
02/01/17,11:19:00,60907.0000000,60926.0000000,60905.0000000,60921.0000000,1001
02/01/17,11:20:00,60921.0000000,60921.0000000,60890.0000000,60899.0000000,2129
02/01/17,11:21:00,60900.0000000,60906.0000000,60895.0000000,60898.0000000,1010
02/01/17,11:22:00,60898.0000000,60917.0000000,60894.0000000,60917.0000000,2033
02/01/17,11:23:00,60918.0000000,60921.0000000,60904.0000000,60907.0000000,7100
02/01/17,11:24:00,60911.0000000,60916.0000000,60908.0000000,60912.0000000,437
02/01/17,11:25:00,60911.0000000,60911.0000000,60889.0000000,60897.0000000,3362
02/01/17,11:26:00,60896.0000000,60896.0000000,60870.0000000,60881.0000000,8719
02/01/17,11:27:00,60881.0000000,60888.0000000,60876.0000000,60877.0000000,1030
02/01/17,11:28:00,60877.0000000,60894.0000000,60876.0000000,60880.0000000,14181
02/01/17,11:29:00,60880.0000000,60884.0000000,60862.0000000,60873.0000000,5825
02/01/17,11:30:00,60872.0000000,60875.0000000,60851.0000000,60856.0000000,4497
02/01/17,11:31:00,60857.0000000,60885.0000000,60857.0000000,60879.0000000,3340
02/01/17,11:32:00,60879.0000000,60883.0000000,60872.0000000,60883.0000000,996
02/01/17,11:33:00,60882.0000000,60901.0000000,60881.0000000,60898.0000000,3614
02/01/17,11:34:00,60896.0000000,60900.0000000,60887.0000000,60890.0000000,1200
02/01/17,11:35:00,60888.0000000,60891.0000000,60882.0000000,60882.0000000,966
02/01/17,11:36:00,60882.0000000,60890.0000000,60880.0000000,60889.0000000,969
02/01/17,11:37:00,60889.0000000,60892.0000000,60877.0000000,60878.0000000,993
02/01/17,11:38:00,60879.0000000,60888.0000000,60870.0000000,60887.0000000,1296
02/01/17,11:39:00,60886.0000000,60902.0000000,60885.0000000,60891.0000000,2288
02/01/17,11:40:00,60889.0000000,60902.0000000,60883.0000000,60900.0000000,4267
02/01/17,11:41:00,60899.0000000,60906.0000000,60888.0000000,60905.0000000,1287
02/01/17,11:42:00,60904.0000000,60920.0000000,60902.0000000,60915.0000000,3619
02/01/17,11:43:00,60915.0000000,60919.0000000,60898.0000000,60905.0000000,1685
02/01/17,11:44:00,60905.0000000,60914.0000000,60901.0000000,60911.0000000,828
02/01/17,11:45:00,60910.0000000,60916.0000000,60903.0000000,60910.0000000,2118
02/01/17,11:46:00,60910.0000000,60933.0000000,60910.0000000,60932.0000000,3718
02/01/17,11:47:00,60931.0000000,60950.0000000,60925.0000000,60936.0000000,5010
02/01/17,11:48:00,60935.0000000,60949.0000000,60931.0000000,60937.0000000,2915
02/01/17,11:49:00,60939.0000000,60944.0000000,60925.0000000,60926.0000000,2405
02/01/17,11:50:00,60927.0000000,60938.0000000,60925.0000000,60931.0000000,1579
02/01/17,11:51:00,60933.0000000,60942.0000000,60925.0000000,60942.0000000,1234
02/01/17,11:52:00,60940.0000000,60950.0000000,60936.0000000,60939.0000000,1641
02/01/17,11:53:00,60939.0000000,60946.0000000,60931.0000000,60937.0000000,1729
02/01/17,11:54:00,60937.0000000,60941.0000000,60926.0000000,60931.0000000,1624
02/01/17,11:55:00,60932.0000000,60937.0000000,60916.0000000,60934.0000000,2872
02/01/17,11:56:00,60933.0000000,60946.0000000,60931.0000000,60936.0000000,1217
02/01/17,11:57:00,60936.0000000,60938.0000000,60927.0000000,60927.0000000,1388
02/01/17,11:58:00,60927.0000000,60933.0000000,60919.0000000,60919.0000000,708
02/01/17,11:59:00,60921.0000000,60925.0000000,60892.0000000,60892.0000000,5685
02/01/17,12:00:00,60894.0000000,60899.0000000,60867.0000000,60880.0000000,11507
02/01/17,12:01:00,60882.0000000,60909.0000000,60872.0000000,60890.0000000,8333
02/01/17,12:02:00,60890.0000000,60925.0000000,60880.0000000,60922.0000000,5461
02/01/17,12:03:00,60922.0000000,60928.0000000,60903.0000000,60919.0000000,3604
02/01/17,12:04:00,60919.0000000,60919.0000000,60884.0000000,60894.0000000,3169
02/01/17,12:05:00,60896.0000000,60909.0000000,60890.0000000,60908.0000000,1003
02/01/17,12:06:00,60907.0000000,60914.0000000,60848.0000000,60855.0000000,8966
02/01/17,12:07:00,60856.0000000,60866.0000000,60854.0000000,60856.0000000,2742
02/01/17,12:08:00,60861.0000000,60862.0000000,60842.0000000,60854.0000000,3017
02/01/17,12:09:00,60854.0000000,60874.0000000,60851.0000000,60861.0000000,2869
02/01/17,12:10:00,60861.0000000,60876.0000000,60857.0000000,60874.0000000,970
02/01/17,12:11:00,60874.0000000,60875.0000000,60868.0000000,60872.0000000,402
02/01/17,12:12:00,60870.0000000,60878.0000000,60866.0000000,60876.0000000,1778
02/01/17,12:13:00,60873.0000000,60877.0000000,60865.0000000,60874.0000000,1126
02/01/17,12:14:00,60873.0000000,60889.0000000,60872.0000000,60888.0000000,1353
02/01/17,12:15:00,60885.0000000,60912.0000000,60885.0000000,60909.0000000,2472
02/01/17,12:16:00,60908.0000000,60912.0000000,60887.0000000,60892.0000000,2740
02/01/17,12:17:00,60892.0000000,60897.0000000,60883.0000000,60890.0000000,1470
02/01/17,12:18:00,60890.0000000,60902.0000000,60889.0000000,60900.0000000,1183
02/01/17,12:19:00,60901.0000000,60902.0000000,60880.0000000,60886.0000000,2774
02/01/17,12:20:00,60887.0000000,60950.0000000,60883.0000000,60930.0000000,12360
02/01/17,12:21:00,60930.0000000,60938.0000000,60920.0000000,60927.0000000,1912
02/01/17,12:22:00,60929.0000000,60937.0000000,60922.0000000,60927.0000000,1317
02/01/17,12:23:00,60926.0000000,60938.0000000,60926.0000000,60931.0000000,1171
02/01/17,12:24:00,60933.0000000,60937.0000000,60929.0000000,60934.0000000,702
02/01/17,12:25:00,60933.0000000,60941.0000000,60932.0000000,60937.0000000,1304
02/01/17,12:26:00,60935.0000000,60941.0000000,60935.0000000,60938.0000000,519
02/01/17,12:27:00,60937.0000000,60940.0000000,60930.0000000,60933.0000000,2086
02/01/17,12:28:00,60936.0000000,60938.0000000,60930.0000000,60932.0000000,1318
02/01/17,12:29:00,60936.0000000,60939.0000000,60929.0000000,60931.0000000,1176
02/01/17,12:30:00,60932.0000000,60937.0000000,60918.0000000,60924.0000000,6609
02/01/17,12:31:00,60925.0000000,60940.0000000,60921.0000000,60930.0000000,2988
02/01/17,12:32:00,60932.0000000,60941.0000000,60925.0000000,60929.0000000,2714
02/01/17,12:33:00,60931.0000000,60937.0000000,60924.0000000,60925.0000000,3311
02/01/17,12:34:00,60925.0000000,60928.0000000,60920.0000000,60921.0000000,1578
02/01/17,12:35:00,60921.0000000,60924.0000000,60898.0000000,60917.0000000,5911
02/01/17,12:36:00,60918.0000000,60928.0000000,60911.0000000,60915.0000000,1846
02/01/17,12:37:00,60913.0000000,60925.0000000,60911.0000000,60923.0000000,427
02/01/17,12:38:00,60924.0000000,60927.0000000,60920.0000000,60925.0000000,507
02/01/17,12:39:00,60924.0000000,60925.0000000,60908.0000000,60913.0000000,721
02/01/17,12:40:00,60912.0000000,60915.0000000,60899.0000000,60904.0000000,2021
02/01/17,12:41:00,60907.0000000,60931.0000000,60904.0000000,60925.0000000,2694
02/01/17,12:42:00,60924.0000000,60931.0000000,60920.0000000,60930.0000000,5575
02/01/17,12:43:00,60930.0000000,60945.0000000,60928.0000000,60941.0000000,3930
02/01/17,12:44:00,60941.0000000,60946.0000000,60930.0000000,60938.0000000,2298
02/01/17,12:45:00,60936.0000000,60958.0000000,60935.0000000,60950.0000000,6654
02/01/17,12:46:00,60951.0000000,60954.0000000,60943.0000000,60945.0000000,1351
02/01/17,12:47:00,60944.0000000,60949.0000000,60937.0000000,60941.0000000,8934
02/01/17,12:48:00,60941.0000000,60955.0000000,60941.0000000,60942.0000000,2216
02/01/17,12:49:00,60945.0000000,60949.0000000,60934.0000000,60939.0000000,776
02/01/17,12:50:00,60941.0000000,60945.0000000,60935.0000000,60939.0000000,1364
02/01/17,12:51:00,60940.0000000,60945.0000000,60937.0000000,60938.0000000,540
02/01/17,12:52:00,60941.0000000,60947.0000000,60930.0000000,60931.0000000,1811
02/01/17,12:53:00,60932.0000000,60934.0000000,60921.0000000,60928.0000000,2071
02/01/17,12:54:00,60929.0000000,60931.0000000,60921.0000000,60929.0000000,1112
02/01/17,12:55:00,60930.0000000,60931.0000000,60912.0000000,60920.0000000,1715
02/01/17,12:56:00,60919.0000000,60929.0000000,60913.0000000,60925.0000000,1430
02/01/17,12:57:00,60928.0000000,60929.0000000,60920.0000000,60920.0000000,651
02/01/17,12:58:00,60924.0000000,60935.0000000,60922.0000000,60929.0000000,1123
02/01/17,12:59:00,60930.0000000,60942.0000000,60927.0000000,60942.0000000,2516
02/01/17,13:00:00,60938.0000000,60944.0000000,60929.0000000,60938.0000000,736
02/01/17,13:01:00,60938.0000000,60955.0000000,60935.0000000,60945.0000000,4329
02/01/17,13:02:00,60944.0000000,60948.0000000,60935.0000000,60937.0000000,1145
02/01/17,13:03:00,60937.0000000,60940.0000000,60924.0000000,60926.0000000,1247
02/01/17,13:04:00,60927.0000000,60934.0000000,60927.0000000,60933.0000000,496
02/01/17,13:05:00,60931.0000000,60931.0000000,60922.0000000,60924.0000000,645
02/01/17,13:06:00,60923.0000000,60927.0000000,60905.0000000,60914.0000000,2538
02/01/17,13:07:00,60913.0000000,60931.0000000,60910.0000000,60929.0000000,1416
02/01/17,13:08:00,60928.0000000,60945.0000000,60927.0000000,60936.0000000,1545
02/01/17,13:09:00,60939.0000000,60939.0000000,60932.0000000,60935.0000000,354
02/01/17,13:10:00,60936.0000000,60939.0000000,60925.0000000,60926.0000000,1369
02/01/17,13:11:00,60926.0000000,60927.0000000,60916.0000000,60922.0000000,2039
02/01/17,13:12:00,60921.0000000,60934.0000000,60911.0000000,60928.0000000,3073
02/01/17,13:13:00,60927.0000000,60928.0000000,60917.0000000,60918.0000000,850
02/01/17,13:14:00,60918.0000000,60925.0000000,60916.0000000,60921.0000000,590
02/01/17,13:15:00,60923.0000000,60928.0000000,60917.0000000,60926.0000000,659
02/01/17,13:16:00,60925.0000000,60933.0000000,60920.0000000,60932.0000000,689
02/01/17,13:17:00,60930.0000000,60933.0000000,60925.0000000,60928.0000000,1504
02/01/17,13:18:00,60930.0000000,60948.0000000,60927.0000000,60936.0000000,2414
02/01/17,13:19:00,60939.0000000,60948.0000000,60936.0000000,60945.0000000,1388
02/01/17,13:20:00,60945.0000000,60948.0000000,60933.0000000,60936.0000000,1381
02/01/17,13:21:00,60936.0000000,60938.0000000,60931.0000000,60934.0000000,245
02/01/17,13:22:00,60934.0000000,60943.0000000,60934.0000000,60943.0000000,1311
02/01/17,13:23:00,60942.0000000,60944.0000000,60937.0000000,60943.0000000,524
02/01/17,13:24:00,60943.0000000,60949.0000000,60942.0000000,60942.0000000,359
02/01/17,13:25:00,60941.0000000,60950.0000000,60941.0000000,60950.0000000,663
02/01/17,13:26:00,60950.0000000,60957.0000000,60943.0000000,60943.0000000,2326
02/01/17,13:27:00,60942.0000000,60947.0000000,60930.0000000,60935.0000000,2413
02/01/17,13:28:00,60934.0000000,60935.0000000,60927.0000000,60928.0000000,1026
02/01/17,13:29:00,60929.0000000,60937.0000000,60926.0000000,60936.0000000,941
02/01/17,13:30:00,60935.0000000,60937.0000000,60924.0000000,60927.0000000,4255
02/01/17,13:31:00,60926.0000000,60932.0000000,60920.0000000,60932.0000000,3243
02/01/17,13:32:00,60928.0000000,60940.0000000,60926.0000000,60931.0000000,1355
02/01/17,13:33:00,60930.0000000,60936.0000000,60929.0000000,60933.0000000,237
02/01/17,13:34:00,60931.0000000,60942.0000000,60920.0000000,60928.0000000,3067
02/01/17,13:35:00,60929.0000000,60947.0000000,60925.0000000,60942.0000000,1528
02/01/17,13:36:00,60942.0000000,60948.0000000,60934.0000000,60940.0000000,970
02/01/17,13:37:00,60940.0000000,60943.0000000,60935.0000000,60942.0000000,861
02/01/17,13:38:00,60939.0000000,60944.0000000,60935.0000000,60936.0000000,882
02/01/17,13:39:00,60937.0000000,60939.0000000,60935.0000000,60936.0000000,377
02/01/17,13:40:00,60936.0000000,60938.0000000,60935.0000000,60935.0000000,195
02/01/17,13:41:00,60935.0000000,60948.0000000,60933.0000000,60942.0000000,2269
02/01/17,13:42:00,60940.0000000,60943.0000000,60938.0000000,60940.0000000,553
02/01/17,13:43:00,60940.0000000,60945.0000000,60937.0000000,60941.0000000,565
02/01/17,13:44:00,60942.0000000,60948.0000000,60942.0000000,60947.0000000,899
02/01/17,13:45:00,60943.0000000,60955.0000000,60942.0000000,60946.0000000,2776
02/01/17,13:46:00,60946.0000000,60966.0000000,60946.0000000,60951.0000000,5810
02/01/17,13:47:00,60951.0000000,60955.0000000,60946.0000000,60952.0000000,1525
02/01/17,13:48:00,60954.0000000,60958.0000000,60949.0000000,60954.0000000,1394
02/01/17,13:49:00,60952.0000000,60958.0000000,60948.0000000,60958.0000000,1047
02/01/17,13:50:00,60958.0000000,60963.0000000,60952.0000000,60954.0000000,3200
02/01/17,13:51:00,60954.0000000,60955.0000000,60950.0000000,60953.0000000,533
02/01/17,13:52:00,60954.0000000,60959.0000000,60954.0000000,60959.0000000,1425
02/01/17,13:53:00,60957.0000000,60959.0000000,60948.0000000,60952.0000000,1433
02/01/17,13:54:00,60952.0000000,60954.0000000,60934.0000000,60939.0000000,2065
02/01/17,13:55:00,60940.0000000,60944.0000000,60924.0000000,60932.0000000,3563
02/01/17,13:56:00,60931.0000000,60937.0000000,60927.0000000,60934.0000000,961
02/01/17,13:57:00,60933.0000000,60935.0000000,60917.0000000,60922.0000000,2028
02/01/17,13:58:00,60923.0000000,60942.0000000,60920.0000000,60938.0000000,1821
